# Playlist Blind Test — IDs Deezer
# 1337 morceaux, tous avec une année vérifiée
# Format : deezer:ID | titre(s) | artiste(s) | annee | notoriete
# notoriete = 0 a 100 : position du titre parmi ceux de sa decennie
#             (100 = le plus ecoute aujourd'hui de son epoque)

deezer:3979633611 | Le Petit Pêcheur | Manon Lisa | 2026 | 95
deezer:3278913111 | Soleil Bleu | Bleu Soleil | 2025 | 93
deezer:4034126871 | Été avec toi | Adèle Castillon | 2026 | 94
deezer:3571311501 | La recette | Jeck | 2025 | 79
deezer:3898660811 | Frérot | Jeremy Frerot | 2024 | 81
deezer:3480520401 | Virile | Suzane | 2025 | 72
deezer:3315533611 | les filles les meufs | marguerite | 2025 | 77
deezer:3782508312 | Respire fort | Jeanne | 2025 | 70
deezer:3470494261 | Dis-moi où | Julien Lieb | 2025 | 80
deezer:3513736251 | Quand même | M. Pokora | 2015 | 92
deezer:2858640942 | Ça fait mal | Vitaa | 2020 | 69
deezer:7120489 | Quand la musique est bonne | Jean-Jacques Goldman | 1982 | 78
deezer:596537 | Dans les yeux d'Émilie | Joe Dassin | 1977 | 91
deezer:2422118 | Le chasseur (Les oies sauvages) | Michel Delpech | 1974 | 78
deezer:3466520751 | Cow-girl moderne | Eloïz | 2025 | 67
deezer:3423673121 | Viens on essaie | Vitaa | 2025 | 64
deezer:72066529 | Je t'aimais je t'aime je t'aimerai | Francis Cabrel | 1994 | 78
deezer:698042932 | Amour plastique | Videoclub | 2018 | 80
deezer:72064735 | Je l'aime à mourir | Francis Cabrel | 1979 | 80
deezer:72064788 | Encore et encore | Francis Cabrel | 1985 | 74
deezer:591160032 | Ta marinière | Hoshi | 2018 | 83
deezer:2642921822 | Ceux qu'on était | Pierre Garnier | 2024 | 57
deezer:4105009501 | Les règles | Jeanne | 2026 | 66
deezer:2787705102 | L'horizon | Pierre Garnier | 2024 | 64
deezer:3318335821 | Je t'accuse | Suzane | 2025 | 63
deezer:3196072111 | Ma faute | Marine | 2022 | 65
deezer:72066525 | La corrida | Francis Cabrel | 1994 | 73
deezer:614693 | Dernière danse | Kyo | 2004 | 79
deezer:3363420031 | Coeur maladroit | Marine | 2025 | 60
deezer:1169758032 | Roi | Videoclub | 2018 | 74
deezer:993913 | Elle a les yeux revolver | Marc Lavoine | 1985 | 47
deezer:70785260 | Paris-Seychelles | Julien Doré | 2013 | 73
deezer:1586442032 | Un jour je marierai un ange | Pierre de Maere | 2021 | 53
deezer:2463390605 | Beau | Joseph Kamel | 2023 | 54
deezer:3921630701 | Je pense à vous | Pierre de Maere | 2026 | 64
deezer:76108761 | Le Graal | Kyo | 2014 | 75
deezer:1534970092 | Et Bam | Mentissa | 2021 | 61
deezer:2036448917 | Dépassé | Nuit Incolore | 2022 | 50
deezer:136216916 | Un homme debout | Claudio Capéo | 2016 | 65
deezer:730166752 | Je te donne | Jean-Jacques Goldman | 1985 | 61
deezer:551991 | Petite Marie | Francis Cabrel | 1977 | 65
deezer:1849978827 | Femme libérée | Cookie Dingler | 1984 | 62
deezer:4045704521 | bellevie | marguerite | 2026 | 59
deezer:3689512422 | Escroc | Marine | 2025 | 56
deezer:142797438 | L'hymne de nos campagnes | Tryo | 1998 | 58
deezer:3883130121 | Pourquoi tu restes | Amel Bent | 2025 | 54
deezer:136331272 | Bruxelles | Boulevard des airs | 2015 | 67
deezer:3385249981 | Autrement | Julien Lieb | 2025 | 51
deezer:3402560811 | Extraordinaire | Fredz | 2025 | 53
deezer:1934307187 | Si j'avais su | Claudio Capéo | 2022 | 55
deezer:4030914551 | C'est à qui le tour | Mylène Farmer | 2026 | 58
deezer:2997520821 | Chaque seconde | Pierre Garnier | 2024 | 48
deezer:2743688241 | Adieu | Jeremy Frerot | 2024 | 49
deezer:3272963771 | J'avoue | Linh | 2025 | 50
deezer:561690 | Siffler sur la colline | Joe Dassin | 1968 | 87
deezer:1009243502 | Une autre histoire | Gérard Blanc | 1987 | 39
deezer:4108057 | Les démons de minuit | Images | 1986 | 55
deezer:1113719942 | Quand je marche | Ben Mazué | 2020 | 47
deezer:2389689195 | Je suis fou | Vianney | 2023 | 49
deezer:561686 | Et si tu n'existais pas | Joe Dassin | 1975 | 67
deezer:3480520431 | Champagne | Suzane | 2025 | 61
deezer:1066626492 | Liberta | Pep's | 2001 | 66
deezer:2688385452 | Faut que tu m'aimes | Styleto | 2025 | 53
deezer:532589062 | Le temps est bon | Bon Entendeur | 2018 | 68
deezer:100936224 | Les corons | Pierre Bachelet | 1982 | 41
deezer:2802051612 | Je pense à vous | Linh | 2024 | 50
deezer:2787705112 | Nous on sait | Pierre Garnier | 2024 | 49
deezer:730187022 | Envole-moi | Jean-Jacques Goldman | 1984 | 45
deezer:72064755 | L'encre de tes yeux | Francis Cabrel | 1980 | 46
